pthread, 2, 3, 8, 5, 1, 0.220
pthread, 2, 3, 16, 5, 1, 0.443
pthread, 2, 3, 48, 5, 1, 0.581
openmp, 2, 3, 1, 5, 1, 0.090
cilk, 2, 3, 1, 5, 1, 0.012
cilk, 2, 3, 8, 5, 1, 0.026
cilk, 2, 3, 16, 5, 1, 0.874
cilk, 2, 3, 48, 5, 1, 0.015
sequential, 2, 3, 1, 5, 2, 0.119
pthread, 2, 3, 1, 5, 2, 0.411
pthread, 2, 3, 8, 5, 2, 0.417
pthread, 2, 3, 16, 5, 2, 0.493
pthread, 2, 3, 48, 5, 2, 0.383
openmp, 2, 3, 1, 5, 2, 23.255
cilk, 2, 3, 1, 5, 2, 0.266
cilk, 2, 3, 8, 5, 2, 0.223
cilk, 2, 3, 16, 5, 2, 0.124
cilk, 2, 3, 48, 5, 2, 0.124
sequential, 491, 499, 1, 1, 1, 33.462
pthread, 491, 499, 1, 1, 1, 40.540
pthread, 491, 499, 8, 1, 1, 27.161
pthread, 491, 499, 16, 1, 1, 32.250
pthread, 491, 499, 48, 1, 1, 39.349
openmp, 491, 499, 1, 1, 1, 138.891
cilk, 491, 499, 1, 1, 1, 64.694
cilk, 491, 499, 8, 1, 1, 101.924
cilk, 491, 499, 16, 1, 1, 41.801
cilk, 491, 499, 48, 1, 1, 38.525
sequential, 491, 499, 1, 1, 2, 940.024
pthread, 491, 499, 1, 1, 2, 945.462
pthread, 491, 499, 8, 1, 2, 243.644
pthread, 491, 499, 16, 1, 2, 190.164
pthread, 491, 499, 48, 1, 2, 248.999
openmp, 491, 499, 1, 1, 2, 314.466
cilk, 491, 499, 1, 1, 2, 1559.855
cilk, 491, 499, 8, 1, 2, 547.673
cilk, 491, 499, 16, 1, 2, 349.867
cilk, 491, 499, 48, 1, 2, 307.486
sequential, 491, 499, 1, 5, 1, 175.338
pthread, 491, 499, 1, 5, 1, 188.530
pthread, 491, 499, 8, 5, 1, 73.594
pthread, 491, 499, 16, 5, 1, 46.520
pthread, 491, 499, 48, 5, 1, 41.682
openmp, 491, 499, 1, 5, 1, 455.091
cilk, 491, 499, 1, 5, 1, 360.581
cilk, 491, 499, 8, 5, 1, 163.270
cilk, 491, 499, 16, 5, 1, 93.331
cilk, 491, 499, 48, 5, 1, 64.530
sequential, 491, 499, 1, 5, 2, 4698.762
pthread, 491, 499, 1, 5, 2, 4736.262
pthread, 491, 499, 8, 5, 2, 836.903
pthread, 491, 499, 16, 5, 2, 635.976
pthread, 491, 499, 48, 5, 2, 542.240
openmp, 491, 499, 1, 5, 2, 1095.137
cilk, 491, 499, 1, 5, 2, 5560.725
cilk, 491, 499, 8, 5, 2, 2363.883
cilk, 491, 499, 16, 5, 2, 1603.029
cilk, 491, 499, 48, 5, 2, 975.258
sequential, 1000, 1000, 1, 1, 1, 139.115
pthread, 1000, 1000, 1, 1, 1, 144.804
pthread, 1000, 1000, 8, 1, 1, 72.086
pthread, 1000, 1000, 16, 1, 1, 65.269
pthread, 1000, 1000, 48, 1, 1, 70.004
openmp, 1000, 1000, 1, 1, 1, 176.932
cilk, 1000, 1000, 1, 1, 1, 391.367
cilk, 1000, 1000, 8, 1, 1, 230.324
cilk, 1000, 1000, 16, 1, 1, 190.515
cilk, 1000, 1000, 48, 1, 1, 108.543
sequential, 1000, 1000, 1, 1, 2, 3823.306
pthread, 1000, 1000, 1, 1, 2, 3839.450
pthread, 1000, 1000, 8, 1, 2, 603.011
pthread, 1000, 1000, 16, 1, 2, 490.716
pthread, 1000, 1000, 48, 1, 2, 484.056
openmp, 1000, 1000, 1, 1, 2, 577.302
cilk, 1000, 1000, 1, 1, 2, 5008.130
cilk, 1000, 1000, 8, 1, 2, 950.508
cilk, 1000, 1000, 16, 1, 2, 769.282
cilk, 1000, 1000, 48, 1, 2, 495.479
sequential, 1000, 1000, 1, 5, 1, 715.214
pthread, 1000, 1000, 1, 5, 1, 748.705
pthread, 1000, 1000, 8, 5, 1, 145.045
pthread, 1000, 1000, 16, 5, 1, 128.074
pthread, 1000, 1000, 48, 5, 1, 119.310
