,type,row_count,column_count,thread_count,iteration_count,func,time,max_time,min_time
217,mpi,10000,1,1,5,1.0,5.513,7.15774209643,5.27383600447
218,mpi,10000,1,1,5,1.0,43.134,56.0025480841,41.262768405
219,mpi,10000,1,1,5,1.0,46.036,59.7703274354,44.0388743519
220,mpi,10000,1,1,5,1.0,108.573,140.964544284,103.862905227
221,mpi,10000,1,1,5,2.0,158.457,205.730879625,151.58284632
222,mpi,10000,1,1,5,2.0,189.182,245.622340883,180.974939778
223,mpi,10000,1,1,5,2.0,192.275,249.638102955,183.933759797
224,mpi,10000,1,1,5,2.0,252.812,328.235642098,241.844554319
225,mpi,1000,1000,16,5,1.0,62.334,80.9306540612,59.6298373849
226,mpi,1000,1000,34,5,1.0,86.122,111.815538696,82.3858705564
227,mpi,1000,1000,1,5,2.0,15839.277,20564.7487321,15152.1402734
228,mpi,1000,1000,8,5,2.0,2006.104,2604.6027663,1919.07554941
229,mpi,1000,1000,16,5,2.0,1129.864,1466.94632977,1080.84843885
230,mpi,1000,1000,34,5,2.0,745.786,968.282939803,713.432443032
231,mpi,5000,5000,1,1,1.0,2811.356,3650.09272434,2689.3942489
232,mpi,5000,5000,8,1,1.0,360.272,467.755135238,344.642743516
233,mpi,5000,5000,16,1,1.0,194.067,251.96472618,185.648019568
234,mpi,5000,5000,34,1,1.0,151.722,196.986567451,145.140022904
235,mpi,1000,1000,8,1,1.0,22.282,28.9295863219,21.3153661984
236,mpi,5000,5000,1,1,2.0,79089.266,102684.666901,75658.2293848
237,mpi,5000,5000,8,1,2.0,9890.311,12840.9750393,9461.25126923
238,mpi,5000,5000,16,1,2.0,5072.629,6585.99131741,4852.56910168
239,mpi,5000,5000,34,1,2.0,2435.244,3161.77190167,2329.59867348
240,mpi,5000,5000,1,5,1.0,15003.073,19479.0725899,14352.2123282
241,mpi,5000,5000,8,5,1.0,1865.335,2421.83690431,1784.41336539
242,mpi,5000,5000,16,5,1.0,968.694,1257.69305684,926.670287415
243,mpi,5000,5000,34,5,1.0,518.758,673.52366669,496.253331763
244,mpi,5000,5000,1,5,2.0,395834.0,513926.661527,378661.999092
245,mpi,5000,5000,8,5,2.0,49491.359,64256.5542761,47344.333576
246,mpi,1000,1000,16,1,1.0,14.518,18.8492834674,13.8881826797
247,mpi,5000,5000,16,5,2.0,25343.422,32904.3494499,24243.9781281
248,mpi,5000,5000,34,5,2.0,11858.266,15396.0474767,11343.8327918
249,mpi,1000,1000,34,1,1.0,68.523,88.9660732222,65.5503472764
250,mpi,1000,1000,1,1,2.0,3169.092,4114.55527224,3031.61100872
251,mpi,1000,1000,8,1,2.0,407.746,529.392473944,390.057234805
252,mpi,1000,1000,16,1,2.0,234.145,303.999550729,223.987362827
253,mpi,1000,1000,34,1,2.0,197.961,257.020457673,189.373090746
254,mpi,1000,1000,1,5,1.0,599.492,778.343755646,573.484943587
255,mpi,1000,1000,8,5,1.0,97.053,126.007680697,92.8426638386
256,sequential,1,1,1,1,1.0,0.001,0.00129833885297,0.000956618176034
257,pthread,1,1,1,1,1.0,0.113,0.146712290386,0.108097853892
258,pthread,1,1,8,1,1.0,0.093,0.120745513326,0.0889654903711
259,pthread,1,1,16,1,1.0,0.06,0.0779003311783,0.057397090562
260,pthread,1,1,48,1,1.0,0.039,0.0506352152659,0.0373081088653
